Amount,CBK,hour,day_of_week,card_txn_count
418.0,1,14,5,4
187.0,0,17,1,2
78.4,0,21,0,1
220.0,0,23,3,2
34.5,0,11,3,1
132.0,0,20,3,1
104.5,0,15,4,1
134.4,0,11,0,1
143.0,0,19,5,1
30.0,0,12,6,1
69.0,0,15,5,1
100.48,0,15,1,1
66.99,0,12,2,1
143.0,0,19,0,1
134.4,0,11,3,1
88.0,0,18,4,2
88.0,1,13,0,2
15.0,0,8,4,1
23.35,0,21,0,1
82.5,0,17,5,2
46.0,0,19,3,1
67.2,0,11,4,2
143.0,0,20,0,1
10.0,0,16,2,1
40.0,0,18,2,1
62.1,0,22,4,1
39.48,0,23,2,1
34.5,0,11,4,1
264.0,0,15,0,1
154.0,0,16,1,1
49.5,0,15,3,1
286.0,0,20,5,1
77.0,0,14,4,1
20.0,0,13,1,1
30.0,0,15,5,1
154.0,0,12,0,1
20.0,0,11,4,1
23.0,0,22,4,2
10.0,0,14,0,1
78.4,0,14,1,1
88.0,0,0,2,1
143.0,0,23,3,1
121.0,0,22,4,3
86.0,0,17,3,1
46.0,0,15,2,1
220.0,0,20,6,1
69.0,0,16,5,1
20.0,0,0,5,1
67.2,0,21,1,1
440.0,0,19,2,1
66.0,0,22,0,1
23.0,0,11,3,1
77.0,0,18,3,5
39.48,0,15,1,1
132.25,0,13,1,1
31.59,0,13,4,1
179.2,0,23,2,1
104.5,0,13,3,1
46.0,0,15,1,1
112.0,0,13,0,1
154.0,0,23,2,1
132.0,0,15,2,1
46.0,0,15,0,1
207.0,0,15,2,1
46.0,0,14,3,1
78.4,0,16,1,1
103.5,0,16,2,2
23.0,0,22,4,1
154.0,0,15,4,1
172.5,0,22,2,1
92.0,0,16,4,1
20.0,0,22,2,1
99.0,0,9,3,1
154.0,0,22,1,1
89.6,0,22,0,1
117.6,1,16,5,12
89.6,0,1,3,2
10.0,0,16,4,1
15.8,0,15,4,1
99.0,0,13,3,1
168.0,0,21,6,1
78.4,0,13,0,1
99.0,0,15,4,2
308.0,1,15,1,4
25.0,0,8,4,1
49.5,0,16,1,3
104.5,0,22,1,2
104.5,0,15,0,1
224.0,0,10,1,1
103.5,0,13,5,1
52.07,0,21,0,1
235.2,0,17,1,3
110.0,1,12,5,20
257.6,0,11,2,1
148.5,0,20,6,1
10.0,0,23,3,1
67.2,0,19,1,1
302.4,0,12,1,1
100.0,0,15,4,1
78.4,0,11,0,2
104.5,0,19,0,1
69.0,0,19,0,1
78.4,0,19,0,1
132.0,0,19,4,1
92.0,0,15,0,2
20.0,0,15,2,1
27.0,0,10,2,1
198.0,0,20,4,1
57.5,0,14,4,1
84.0,0,10,1,1
46.0,0,14,0,2
143.0,0,14,5,2
235.2,0,15,5,1
10.0,0,10,0,1
57.5,1,19,3,4
99.0,0,12,4,1
172.5,0,22,4,1
440.0,1,23,0,12
99.0,0,20,3,1
672.0,0,19,4,1
230.0,0,23,4,1
69.0,0,17,4,1
48.0,0,0,1,1
13.99,0,19,1,8
156.8,0,11,0,2
210.0,0,12,4,1
105.0,0,19,3,1
100.8,0,14,1,1
134.4,0,22,1,1
